,keyword,ntee_cd,count,Include
0,ancient,A05,2,2
1,ancient,A20,3,2
2,ancient,A23,16,2
3,ancient,A24Z,1,2
4,ancient,A25,1,2
5,ancient,A510,2,2
6,ancient,A60,1,2
7,ancient,A60Z,1,2
8,ancient,A68,1,2
9,ancient,A6C,4,2
10,ancient,A70,2,2
11,ancient,A80,28,2
12,ancient,B05,2,2
13,ancient,B11,1,2
14,ancient,B12,1,2
15,ancient,B82,2,2
16,ancient,B90,3,2
17,ancient,C013,1,2
18,ancient,C30,3,2
19,ancient,C34,1,2
20,ancient,C36,1,2
21,ancient,C60,1,2
22,ancient,C99,1,2
23,ancient,D20,1,2
24,ancient,E01,1,2
25,ancient,H05,1,2
26,ancient,I03,1,2
27,ancient,I19,1,2
28,ancient,J40,1,2
29,ancient,K20,1,2
30,ancient,K99,1,2
31,ancient,N03,1,2
32,ancient,N50,9,2
33,ancient,N60,1,2
34,ancient,N64,1,2
35,ancient,O50,2,2
36,ancient,P12,1,2
37,ancient,P20,8,2
38,ancient,P30,1,2
39,ancient,P50,1,2
40,ancient,P60,2,2
41,ancient,P80,1,2
42,ancient,P84,1,2
43,ancient,P99,1,2
44,ancient,Q20,1,2
45,ancient,Q33,1,2
46,ancient,S20,2,2
47,ancient,S47,2,2
48,ancient,S80,11,2
49,ancient,S81,2,2
50,ancient,S82,7,2
51,ancient,S99,1,2
52,ancient,T12,1,2
53,ancient,T20Z,1,2
54,ancient,T21,2,2
55,ancient,T22,1,2
56,ancient,T30,2,2
57,ancient,T50,1,2
58,ancient,U31,1,2
59,ancient,V21,1,2
60,ancient,W11,1,2
61,ancient,W12,1,2
62,ancient,W30,3,2
63,ancient,W99,4,2
64,ancient,X03,2,2
65,ancient,X11,1,2
66,ancient,X112,1,2
67,ancient,X12,1,2
68,ancient,X19,1,2
69,ancient,X20,14,2
70,ancient,X20Z,1,2
71,ancient,X21,2,2
72,ancient,X22,1,2
73,ancient,X30,1,2
74,ancient,X50,1,2
75,ancient,X80,1,2
76,ancient,X90,2,2
77,ancient,X99,5,2
78,ancient,Y20,1,2
79,ancient,Y40,133,2
80,ancient,Y40Z,8,2
81,ancient,Y41,10,2
82,ancient,Y42,193,2
83,ancient,Y99,4,2
84,ancient,Z99Z,2,2
85,antique,A11,1,2
86,antique,A20,3,2
87,antique,A20Z,1,2
88,antique,A23,2,2
89,antique,A24M,1,2
90,antique,A25,1,2
91,antique,A33,1,2
92,antique,A500,4,2
93,antique,A50Z,1,2
94,antique,A540,7,2
95,antique,A54Z,1,2
96,antique,A570,1,2
97,antique,A57M,1,2
98,antique,A58Z,1,2
99,antique,A59Z,1,2
100,antique,A68,1,2
101,antique,A80,72,2
102,antique,A800,2,2
103,antique,A80Z,3,2
104,antique,A82Z,7,2
105,antique,A84,1,2
106,antique,A840,1,2
107,antique,A90,1,2
108,antique,A99,7,2
109,antique,A99Z,2,2
110,antique,B11,1,2
111,antique,B20Z,1,2
112,antique,B28,1,2
113,antique,B30,1,2
114,antique,B82,1,2
115,antique,B90,4,2
116,antique,B99,6,2
117,antique,B99Z,1,2
118,antique,C42,1,2
119,antique,D12,1,2
120,antique,G84,1,2
121,antique,K20,5,2
122,antique,K20Z,1,2
123,antique,K28Z,1,2
124,antique,K99,2,2
125,antique,L50,1,2
126,antique,M42,1,2
127,antique,N12,1,2
128,antique,N20,1,2
129,antique,N50,38,2
130,antique,N52,15,2
131,antique,N520,1,2
132,antique,N61,1,2
133,antique,N99,2,2
134,antique,P12,1,2
135,antique,P20,4,2
136,antique,P33,1,2
137,antique,S12,1,2
138,antique,S20,2,2
139,antique,S40,2,2
140,antique,S41,7,2
141,antique,S80,2,2
142,antique,T12,2,2
143,antique,T23,1,2
144,antique,T30,2,2
145,antique,T30Z,1,2
146,antique,T31,1,2
147,antique,T50,2,2
148,antique,T70Z,1,2
149,antique,U40,1,2
150,antique,U99Z,1,2
151,antique,W30,1,2
152,antique,W99,3,2
153,antique,X03,1,2
154,antique,X99,1,2
155,antique,X99Z,1,2
156,antique,Y99,4,2
157,antique,Z99,2,2
158,archeological,A11,1,2
159,archeological,A20,2,2
160,archeological,A70,5,2
161,archeological,A72C,2,2
162,archeological,A80,3,2
163,archeological,A80Z,1,2
164,archeological,V21,2,2
165,armory,A01,1,2
166,armory,A116,1,2
167,armory,A20,1,2
168,armory,A200,1,2
169,armory,A400,1,2
170,armory,A60,1,2
171,armory,A65,1,2
172,armory,A80,4,2
173,armory,A80Z,1,2
174,armory,A99,2,2
175,armory,B82,1,2
176,armory,N31,1,2
177,armory,N60,1,2
178,armory,P02,1,2
179,armory,P28,2,2
180,armory,P33,1,2
181,armory,S20,2,2
182,armory,S41,1,2
183,armory,T30,1,2
184,armory,W03,1,2
185,armory,W30,1,2
186,armory,W99,1,2
187,armory,X20,3,2
