ntee_cd,count
T20,19272
A80,18638
T22,16388
B82,12900
P20,8377
T30,6610
B11,3939
O50,3858
A20,3743
A82Z,3691
B90,3579
A23,3235
B99,3169
T20Z,3146
X20,2991
B12,2793
T12,2431
B70,2396
D20,2270
S20,2260
A65,2243
P99,2238
T50,2223
T31,2164
T21,2087
C42,2001
O52,1854
Q33,1833
N32,1826
C30,1762
T22Z,1683
Z99,1616
S41,1559
P12,1535
A99,1497
A540,1442
W99,1408
T90,1389
T23,1382
B117,1312
A68,1303
T99,1264
X21,1222
Z99Z,1190
B82Z,1145
W30,1140
P30,1102
D200,1096
N50,1093
A500,1080
A25,1018
X99,1003
P80,1001
A60,1000
P60,947
E70,934
A12,914
W12,913
B112,911
E12,896
B80,894
T11,891
S80,889
B60,851
G30,829
B20,791
B94,785
G12,767
K20,764
P40,763
N12,762
C34,755
A11,755
Q30,754
E60,754
N60,750
A80Z,745
A800,740
A650,735
B03,703
E86,688
E11,675
A82,652
N99,612
A84,601
B01,597
S99,586
C32,577
B71Z,574
T70,570
A70,563
D30,562
A50Z,560
O99,548
O12,547
A510,545
H12,540
C60,512
Y50,507
T99Z,493
A62,485
C50,480
X40,480
S30,479
L20,479
E99,477
A40,472
P50,466
T30Z,465
T20J,461
X11,461
A115,459
N11,449
K30,441
A230,440
T90Z,432
C99,429
B19,427
N63,419
B99Z,411
S12,411
B110,406
X50,403
O20,400
X30,395
P33,383
A31,371
M20,366
X12,364
F20,362
F60,356
A54Z,355
C300,351
X22,348
C340,347
P11,343
H30,337
N20,336
P58,335
B21,335
G80,330
B84,329
S40,326
M40,322
X70,320
B70Z,315
E22I,311
N52,304
X20Z,302
F12,299
N31,296
B71I,295
B29,295
A61,295
B122,293
T70Z,289
X99Z,288
A99Z,287
Y40,286
M12,286
N67,286
L21,285
E112,284
M24,282
N30,278
P84,277
N70,270
B21Z,270
B92,269
D500,266
Y42,265
D99,263
E03,260
B28,257
B24,256
I60,253
A200,253
S11,252
L22,247
C410,246
C30Z,246
C420,244
A520,243
S31,238
S22,237
D12,234
