,keyword,name,ntee_cd
0,hall fame,steel guitar hall fame inc,
1,hall fame,philadelphia music hall fame,A23
2,hall fame,westford academy athletic hall fame corp,O50
3,hall fame,bbe hall fame,N03
4,hall fame,national softball association sport hall fame,
5,hall fame,kansa business hall fame inc,
6,hall fame,georgia automobile racing hall fame association inc,A80
7,hall fame,national football foundation college hall fame inc,
8,hall fame,ludlow high school sport hall fame,B11
9,hall fame,aviation educator hall fame inc,A80
10,hall fame,national football foundation college hall fame inc,
11,hall fame,aviation hall fame,A500
12,hall fame,national football foundation college hall fame inc,
13,hall fame,greater st louis amatuer hockey hall fame,A84
14,hall fame,elgin sport hall fame foundation inc,
15,hall fame,national football foundation college hall fame inc,
16,hall fame,baseball hall fame,N60Z
17,hall fame,national football foundation college hall fame inc,
18,hall fame,pennsylvania sport hall fame delaware county chapter,N60
19,hall fame,greater peoria sport hall fame,
20,hall fame,virginia sport hall fame foundation inc,N11
21,hall fame,nebraska golf hall fame inc,B99
22,hall fame,columbus indiana slow pitch softball hall fame inc,A84
23,hall fame,uniontown area high school hall fame,N99
24,hall fame,arizona billiards hall fame inc,N60
25,hall fame,northern highland hall fame,B11
26,hall fame,military aviation hall fame illinois inc,
27,hall fame,aviation hall fame new jersey,A500
28,hall fame,arizona veteran hall fame society,W30
29,hall fame,philadelphia sport hall fame foundation,N99
30,hall fame,armstrong county sport hall fame association inc,B82
31,hall fame,hall fame association,A500
32,hall fame,bulkeley high school athletic hall fame corporation,
33,hall fame,national football foundation college hall fame inc,
34,hall fame,international motorsports hall fame foundation,A58I
35,hall fame,tejano music hall fame award,A23
36,hall fame,michigan farmer hall fame,A500
37,hall fame,kentucky basketball hall fame,N62
38,hall fame,north dakota sport hall fame inc,
39,hall fame,indiana basketball hall fame foundation inc,A500
40,hall fame,wyoming cowboy hall fame,A12
41,hall fame,national football foundation college hall fame inc,
42,hall fame,montana cowboy hall fame western heritage center inc,A80
43,hall fame,comic book hall fame inc,N50
44,hall fame,national football foundation college hall fame inc,
45,hall fame,national football foundation college hall fame inc,
46,hall fame,greenwave hall fame inc,W24
47,hall fame,national football foundation college hall fame inc,
48,hall fame,high bank hall fame,A540
49,hall fame,national football foundation college hall fame inc,
50,hall fame,brooklyn jazz hall fame museum,A20
51,hall fame,athletic hall fame booster club inc,B12
52,hall fame,hancock sport hall fame,N50
53,hall fame,james benson dudley educational sport hall fame,B82
54,hall fame,minnesota amateur baseball hall fame inc,
55,hall fame,national football foundation college hall fame inc,
56,hall fame,gilmer county sport hall fame inc,P03
57,hall fame,usa pickleball hall fame inc,N99
