,0,ngram
"('museum', 'inc')",623,museum inc
"('historical', 'society')",560,historical society
"('foundation', 'inc')",267,foundation inc
"('society', 'inc')",253,society inc
"('hall', 'fame')",199,hall fame
"('childrens', 'museum')",144,childrens museum
"('center', 'inc')",119,center inc
"('county', 'historical')",113,county historical
"('historical', 'museum')",111,historical museum
"('association', 'inc')",110,association inc
"('museum', 'foundation')",100,museum foundation
"('heritage', 'museum')",98,heritage museum
"('museum', 'association')",81,museum association
"('fame', 'inc')",80,fame inc
"('inc', 'friend')",75,inc friend
"('area', 'historical')",70,area historical
"('history', 'museum')",69,history museum
"('civil', 'war')",68,civil war
"('african', 'american')",65,african american
"('inc', 'museum')",63,inc museum
"('heritage', 'foundation')",63,heritage foundation
"('sport', 'hall')",54,sport hall
"('union', 'veteran')",52,union veteran
"('veteran', 'civil')",52,veteran civil
"('daughter', 'union')",52,daughter union
"('railroad', 'museum')",50,railroad museum
"('museum', 'art')",48,museum art
"('county', 'museum')",46,county museum
"('cultural', 'center')",45,cultural center
"('preservation', 'society')",45,preservation society
"('inc', 'national')",44,inc national
"('house', 'museum')",44,house museum
"('art', 'inc')",44,art inc
"('historical', 'association')",42,historical association
"('heritage', 'center')",42,heritage center
"('art', 'museum')",42,art museum
"('american', 'museum')",40,american museum
"('memorial', 'museum')",37,memorial museum
"('society', 'museum')",37,society museum
"('art', 'foundation')",35,art foundation
"('heritage', 'society')",34,heritage society
"('military', 'museum')",32,military museum
"('garden', 'inc')",32,garden inc
"('history', 'center')",31,history center
"('botanical', 'garden')",31,botanical garden
"('history', 'inc')",31,history inc
"('aviation', 'museum')",30,aviation museum
"('model', 'railroad')",29,model railroad
"('veteran', 'museum')",28,veteran museum
"('science', 'center')",27,science center
"('museum', 'american')",27,museum american
"('club', 'inc')",27,club inc
"('museum', 'cultural')",27,museum cultural
"('national', 'association')",27,national association
"('inc', 'american')",27,inc american
"('collector', 'inc')",26,collector inc
"('museum', 'friend')",26,museum friend
"('art', 'center')",25,art center
"('clock', 'collector')",25,clock collector
"('veteran', 'memorial')",24,veteran memorial
"('association', 'watch')",24,association watch
"('museum', 'society')",24,museum society
"('watch', 'clock')",24,watch clock
"('air', 'museum')",23,air museum
"('fame', 'museum')",22,fame museum
